"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0275",0.593401688406725,1.14513521130783,2.63447316582325,0.43467332526425,0.663799563046745,NA
"RDN5-2",3.66451359048005,-1.25243174060269,1.11225081778164,-1.12603355338559,0.260151317228963,NA
"RUF22",0.304643087561692,-0.310904410013264,3.77912728590251,-0.0822688378803878,0.934432934165448,NA
"YAL018C",1.56354412035612,0.25287407893935,1.63048442121011,0.155091379991029,0.876749277731861,NA
"YAL019W-A",0.661961685364856,-0.353394564123562,2.59333986928184,-0.136270054037084,0.891607796439616,NA
"YAL031W-A",7.96872692919497,1.72321144761861,0.819406100472326,2.10300051052257,0.0354657248637648,NA
"YAL042C-A",0.358290740892811,-0.310906100814785,3.57588112718275,-0.0869453121501642,0.930714981979981,NA
"YAL045C",2.86460876999853,1.10246426952595,1.17402556075225,0.939046223848448,0.347707012387498,NA
"YAL047W-A",0.914920412644382,-0.143612845312546,2.08488764232453,-0.0688827744944688,0.945082929909926,NA
"YAL056C-A",3.8324810586293,1.253458780994,1.0398942677302,1.20537137273576,0.228059967746286,NA
"YAL063C-A",4.76671099858281,2.11220157500229,0.995712919319201,2.12129574099176,0.0338969225664144,NA
"YAL066W",0.139624852585008,0.650878948301193,4.0804728567969,0.159510667303427,0.87326655462673,NA
"YAL067W-A",1.38109325576927,0.348191453308082,1.66164206962306,0.20954660433403,0.834021557821896,NA
"YAR019W-A",4.64531228616374,-0.232071740542931,0.958099634764444,-0.242220884052406,0.808609013664065,NA
"YAR035C-A",2.86998963152562,0.328068532984035,1.25014840811817,0.262423669744837,0.792994826124861,NA
"YAR047C",5.38813502413543,0.406483266045374,1.03199349064874,0.3938816181775,0.693668442195077,NA
"YAR060C",4.88925481678253,1.16232152497398,1.0741338575838,1.0821011895003,0.279207567330457,NA
"YAR061W",5.80813647880012,-0.81836717294905,0.793084292797185,-1.03187918406843,0.302128718531044,NA
"YAR069C",3.44265800171879,-1.22678983489867,1.10989471778964,-1.10532090588001,0.269020562330729,NA
"YAR070C",3.61367042987662,-0.555299244749306,1.04117975775105,-0.533336573838847,0.593800614430543,NA
"YBL008W-A",2.39888914786864,-1.14442079327219,1.21677368032538,-0.940537103799088,0.346942126813348,NA
"YBL012C",7.49311638752189,0.012875132631538,0.790428650401683,0.0162887980148431,0.987003994246538,NA
"YBL053W",5.05916479382727,-0.468543641268074,0.929103419391814,-0.504296541686156,0.614053007324447,NA
"YBL062W",2.2394118850781,3.37179149711605,1.63388848994985,2.0636607197224,0.0390498961373231,NA
"YBL065W",1.6038498463748,-0.843223467114013,1.66589106635319,-0.506169631463309,0.612737571998505,NA
"YBL070C",2.27219823155112,1.03118517232946,1.28931264355196,0.799794508714832,0.423829865131618,NA
"YBL071C-B",4.0798432730015,-0.351851116753712,0.984017515103941,-0.357565908485426,0.720668194786484,NA
"YBL073W",1.28812349716421,-0.952338940043444,1.69282912345791,-0.562572398387215,0.573726091547743,NA
"YBL083C",3.68873175145162,0.878454045208,1.05265404533649,0.834513531867156,0.403991665232174,NA
"YBL094C",0.923169321829739,1.93760783257832,2.10567917868006,0.920181883449547,0.357477719873507,NA
"YBL096C",4.79496495651843,0.955549776267709,0.990145681381061,0.965059782854279,0.334514869063373,NA
"YBL100W-C",3.88339581205721,-0.0139128546569733,0.945399024385429,-0.0147163835566867,0.988258448585901,NA
"YBL108W",4.28954930336842,2.18017112739919,1.12685954579157,1.93473191538499,0.0530232017870668,NA
"YBR040W",2.23727694661476,1.53408447687335,1.38354910841557,1.10880377685341,0.267514840818314,NA
"YBR064W",0.319267587788692,1.63172007893206,4.03051078156604,0.404842008212682,0.685593648022075,NA
"YBR072C-A",2.77067803417386,0.891491659131895,1.20402869644075,0.740423929900714,0.459042803103002,NA
"YBR089W",0.304643087561692,-0.310904410013264,3.77912728590251,-0.0822688378803878,0.934432934165448,NA
"YBR103C-A",1.13133516450322,1.02873827060117,1.80352549230948,0.570404064144297,0.568403673706643,NA
"YBR116C",4.29080928985808,1.50958300726672,0.972110806622407,1.55289191004033,0.120448959839874,NA
"YBR124W",1.56726422055932,1.68317986679672,1.86562949905312,0.902204788062688,0.366948091825842,NA
"YBR134W",5.90878650279145,-0.558042167933897,0.818788874338263,-0.68154586050635,0.495526158630136,NA
"YBR174C",1.59689103931858,-0.207953844272965,1.51849736236102,-0.136947122482735,0.891072591336026,NA
"YBR178W",1.83072299347317,1.4323644695882,1.66953084631374,0.857944297795276,0.390923222046629,NA
"YBR182C-A",5.23202431704843,0.782611267981343,0.864017184093011,0.905782063585781,0.365051216481994,NA
"YBR200W-A",2.33276304154367,1.73513695581103,1.36688635568118,1.26940835176187,0.204295458980287,NA
"YBR219C",0.754026632260376,1.58719351359452,2.43682178926543,0.651337541623416,0.514828619383921,NA
